player,team,year,salary
Eric Gordon,LAC,2009,2623200
Elton Brand,LAC,2008,15344000
Chris Kaman,LAC,2008,8600000
Cuttino Mobley,LAC,2008,8350000
Corey Maggette,LAC,2008,7000000
Sam Cassell,LAC,2008,6150000
Elton Brand,LAC,2007,14248000
Cuttino Mobley,LAC,2007,8125000
Corey Maggette,LAC,2007,7000000
Sam Cassell,LAC,2007,6850000
Tim Thomas,LAC,2007,5215000
Elton Brand,LAC,2006,13152000
Cuttino Mobley,LAC,2006,7200000
Corey Maggette,LAC,2006,7000000
Sam Cassell,LAC,2006,6875000
Shaun Livingston,LAC,2006,3254880
Elton Brand,LAC,2005,12056000
Kerry Kittles,LAC,2005,9566667
Corey Maggette,LAC,2005,7000000
Shaun Livingston,LAC,2005,3027840
Chris Kaman,LAC,2005,2574240
Elton Brand,LAC,2004,10960000
Corey Maggette,LAC,2004,7000000
Predrag Drobnjak,LAC,2004,2500000
Chris Kaman,LAC,2004,2394600
Keyon Dooling,LAC,2004,2256444
Michael Olowokandi,LAC,2003,6061213
Elton Brand,LAC,2003,4895656
Lamar Odom,LAC,2003,3557585
Eric Piatkowski,LAC,2003,3000000
Sean Rooks,LAC,2003,2640000
Michael Olowokandi,LAC,2002,4662472
Elton Brand,LAC,2002,3882360
Darius Miles,LAC,2002,3054840
Eric Piatkowski,LAC,2002,3000000
Lamar Odom,LAC,2002,2812320
Michael Olowokandi,LAC,2001,3697440
Derek Strong,LAC,2001,3510000
Darius Miles,LAC,2001,2841720
Lamar Odom,LAC,2001,2628960
Eric Piatkowski,LAC,2001,2200000
Michael Olowokandi,LAC,2000,3456240
Tyrone Nesby,LAC,2000,2716667
Lamar Odom,LAC,2000,2445480
Eric Piatkowski,LAC,2000,2000000
Eric Murdock,LAC,2000,1925000
LeBron James,LAL,2021,39219566
Anthony Davis,LAL,2021,32742000
Dennis Schröder,LAL,2021,16000000
Kentavious Caldwell-Pope,LAL,2021,12073020
Montrezl Harrell,LAL,2021,9258000
LeBron James,LAL,2020,37436858
Anthony Davis,LAL,2020,27093019
Danny Green,LAL,2020,14634146
Kentavious Caldwell-Pope,LAL,2020,8089282
Avery Bradley,LAL,2020,4767000
LeBron James,LAL,2019,35654150
Kentavious Caldwell-Pope,LAL,2019,12000000
Rajon Rondo,LAL,2019,9000000
Lonzo Ball,LAL,2019,7461960
Brandon Ingram,LAL,2019,5757120
Brook Lopez,LAL,2018,22642350
Kentavious Caldwell-Pope,LAL,2018,17745894
Luol Deng,LAL,2018,17190000
Channing Frye,LAL,2018,7420912
Corey Brewer,LAL,2018,6879366
Luol Deng,LAL,2017,18000000
Timofey Mozgov,LAL,2017,16000000
Jordan Clarkson,LAL,2017,12500000
José Calderón,LAL,2017,7708427
Corey Brewer,LAL,2017,7600000
Kobe Bryant,LAL,2016,25000000
Roy Hibbert,LAL,2016,15500000
Lou Williams,LAL,2016,7000000
Nick Young,LAL,2016,5219169
D'Angelo Russell,LAL,2016,5103120
Kobe Bryant,LAL,2015,23500000
Jordan Hill,LAL,2015,9000000
Jeremy Lin,LAL,2015,8374646
Nick Young,LAL,2015,4994420
Carlos Boozer,LAL,2015,3250000
Kobe Bryant,LAL,2014,30453805
Pau Gasol,LAL,2014,19285850
Steve Nash,LAL,2014,9300500
Steve Blake,LAL,2014,4000000
Jordan Hill,LAL,2014,3563600
Kobe Bryant,LAL,2013,27849149
Dwight Howard,LAL,2013,19536360
Pau Gasol,LAL,2013,19000000
Steve Nash,LAL,2013,8900000
Metta World Peace,LAL,2013,7258960
Kobe Bryant,LAL,2012,25244493
Pau Gasol,LAL,2012,18714150
Andrew Bynum,LAL,2012,14900000
Metta World Peace,LAL,2012,6790640
Luke Walton,LAL,2012,5680000
Kobe Bryant,LAL,2011,24806250
Pau Gasol,LAL,2011,17823000
Andrew Bynum,LAL,2011,13700000
Lamar Odom,LAL,2011,8200000
Metta World Peace,LAL,2011,6322320
Kobe Bryant,LAL,2010,23034375
Pau Gasol,LAL,2010,16452000
Andrew Bynum,LAL,2010,12526998
Lamar Odom,LAL,2010,7500000
Metta World Peace,LAL,2010,5854000
Kobe Bryant,LAL,2009,21262500
Pau Gasol,LAL,2009,15106000
Lamar Odom,LAL,2009,14148596
Derek Fisher,LAL,2009,4700000
Sasha Vujačić,LAL,2009,4524887
Kobe Bryant,LAL,2008,19490625
Pau Gasol,LAL,2008,13735000
Lamar Odom,LAL,2008,13248596
Vladimir Radmanović,LAL,2008,5632200
Derek Fisher,LAL,2008,4350000
Kobe Bryant,LAL,2007,17718750
Lamar Odom,LAL,2007,12348596
Kwame Brown,LAL,2007,8287500
Vladimir Radmanović,LAL,2007,5215000
Aaron McKie,LAL,2007,2500000
Kobe Bryant,LAL,2006,15946875
Lamar Odom,LAL,2006,11465333
Kwame Brown,LAL,2006,7500000
Devean George,LAL,2006,5000600
Chris Mihm,LAL,2006,3792817
Kobe Bryant,LAL,2005,14175000
Brian Grant,LAL,2005,13233434
Lamar Odom,LAL,2005,10548596
Vlade Divac,LAL,2005,4903000
Devean George,LAL,2005,4546000
Shaquille O'Neal,LAL,2004,24749999
Kobe Bryant,LAL,2004,13500000
Gary Payton,LAL,2004,4917000
Rick Fox,LAL,2004,4734797
Devean George,LAL,2004,4546000
Shaquille O'Neal,LAL,2003,23571429
Kobe Bryant,LAL,2003,12375000
Robert Horry,LAL,2003,5300000
Devean George,LAL,2003,4546000
Rick Fox,LAL,2003,4340231
Shaquille O'Neal,LAL,2002,21428572
Kobe Bryant,LAL,2002,11250000
Robert Horry,LAL,2002,5300000
Rick Fox,LAL,2002,3791250
Lindsey Hunter,LAL,2002,3425760
Shaquille O'Neal,LAL,2001,19285715
Kobe Bryant,LAL,2001,10130000
Horace Grant,LAL,2001,6500000
Robert Horry,LAL,2001,4800000
Rick Fox,LAL,2001,3400000
Shaquille O'Neal,LAL,2000,17142858
Kobe Bryant,LAL,2000,9000000
Glen Rice,LAL,2000,7000000
Robert Horry,LAL,2000,4800000
Rick Fox,LAL,2000,3033000
Gorgui Dieng,MEM,2021,16587688
Jonas Valančiūnas,MEM,2021,15000000
Justise Winslow,MEM,2021,13000000
Dillon Brooks,MEM,2021,11400000
De'Anthony Melton,MEM,2021,9571712
Gorgui Dieng,MEM,2020,16229213
Jonas Valančiūnas,MEM,2020,16000000
Kyle Anderson,MEM,2020,9073050
Ja Morant,MEM,2020,8730240
Tyus Jones,MEM,2020,8400000
Mike Conley,MEM,2019,30521116
Chandler Parsons,MEM,2019,24107258
Jonas Valančiūnas,MEM,2019,16539326
Avery Bradley,MEM,2019,12000000
Kyle Anderson,MEM,2019,8641000
Mike Conley,MEM,2018,28530608
Chandler Parsons,MEM,2018,23112004
Marc Gasol,MEM,2018,22642350
JaMychal Green,MEM,2018,8533333
Ben McLemore,MEM,2018,5200000
Mike Conley,MEM,2017,26540100
Chandler Parsons,MEM,2017,22116750
Marc Gasol,MEM,2017,21165675
Zach Randolph,MEM,2017,10361445
Brandan Wright,MEM,2017,5700000
Marc Gasol,MEM,2016,19700000
Zach Randolph,MEM,2016,9638555
Mike Conley,MEM,2016,9588426
Lance Stephenson,MEM,2016,9000000
Brandan Wright,MEM,2016,5500000
Zach Randolph,MEM,2015,16500000
Marc Gasol,MEM,2015,15829688
Jeff Green,MEM,2015,9445000
Mike Conley,MEM,2015,8894216
Courtney Lee,MEM,2015,5450000
Zach Randolph,MEM,2014,17800000
Marc Gasol,MEM,2014,14860523
Mike Conley,MEM,2014,8000001
Tayshaun Prince,MEM,2014,7235955
Courtney Lee,MEM,2014,5225000
Zach Randolph,MEM,2013,16500000
Marc Gasol,MEM,2013,13891359
Mike Conley,MEM,2013,7305786
Tayshaun Prince,MEM,2013,6764045
Tony Allen,MEM,2013,3300000
Zach Randolph,MEM,2012,15200000
Rudy Gay,MEM,2012,15032144
Marc Gasol,MEM,2012,12922194
Mike Conley,MEM,2012,6611571
O.J. Mayo,MEM,2012,5632637
Zach Randolph,MEM,2011,17666666
Rudy Gay,MEM,2011,13603750
Shane Battier,MEM,2011,7354500
Mike Conley,MEM,2011,4913007
O.J. Mayo,MEM,2011,4456200
Zach Randolph,MEM,2010,16000000
Hasheem Thabeet,MEM,2010,4458840
O.J. Mayo,MEM,2010,4165560
Mike Conley,MEM,2010,3883800
Steven Hunter,MEM,2010,3696000
Darko Miličić,MEM,2009,7020000
Marko Jarić,MEM,2009,6575000
Greg Buckner,MEM,2009,4010005
O.J. Mayo,MEM,2009,3875040
Mike Conley,MEM,2009,3630480
Kwame Brown,MEM,2008,9075000
Mike Miller,MEM,2008,8376194
Darko Miličić,MEM,2008,6500000
Jason Collins,MEM,2008,6100000
Brian Cardinal,MEM,2008,5850000
Eddie Jones,MEM,2007,14863778
Pau Gasol,MEM,2007,12364000
Mike Miller,MEM,2007,7623813
Brian Cardinal,MEM,2007,5400000
Stromile Swift,MEM,2007,5400000
Eddie Jones,MEM,2006,14576250
Pau Gasol,MEM,2006,10993000
Lorenzen Wright,MEM,2006,7700000
Mike Miller,MEM,2006,6750000
Brian Cardinal,MEM,2006,5393300
Bonzi Wells,MEM,2005,7700000
Lorenzen Wright,MEM,2005,7150000
Jason Williams,MEM,2005,6875000
Mike Miller,MEM,2005,6000000
Stromile Swift,MEM,2005,5993105
Bonzi Wells,MEM,2004,7000000
Lorenzen Wright,MEM,2004,6600000
Bo Outlaw,MEM,2004,6585000
Jason Williams,MEM,2004,6187500
James Posey,MEM,2004,4917000
Wesley Person,MEM,2003,7000000
Lorenzen Wright,MEM,2003,6050000
Jason Williams,MEM,2003,5500000
Michael Dickerson,MEM,2003,5500000
Brevin Knight,MEM,2003,5000000
Isaac Austin,MEM,2002,5695715
Lorenzen Wright,MEM,2002,5500000
Nick Anderson,MEM,2002,5401906
Brevin Knight,MEM,2002,4500000
Stromile Swift,MEM,2002,3401640
Shareef Abdur-Rahim,VAN,2001,10130000
Bryant Reeves,VAN,2001,10110000
Isaac Austin,VAN,2001,5500000
Doug West,VAN,2001,3680000
Mike Bibby,VAN,2001,3308160
Shareef Abdur-Rahim,VAN,2000,9000000
Bryant Reeves,VAN,2000,8666666
Doug West,VAN,2000,3295000
Mike Bibby,VAN,2000,3092400
Brent Price,VAN,2000,2944000
Jimmy Butler,MIA,2021,34379100
Victor Oladipo,MIA,2021,21000000
Goran Dragić,MIA,2021,18000000
Andre Iguodala,MIA,2021,15000000
Trevor Ariza,MIA,2021,12800000
Jimmy Butler,MIA,2020,32742000
Goran Dragić,MIA,2020,19217900
Andre Iguodala,MIA,2020,17185185
Solomon Hill,MIA,2020,12758781
Kelly Olynyk,MIA,2020,11667886
Hassan Whiteside,MIA,2019,25434263
Ryan Anderson,MIA,2019,20421546
Goran Dragić,MIA,2019,18109175
James Johnson,MIA,2019,14651700
Kelly Olynyk,MIA,2019,12137527
Hassan Whiteside,MIA,2018,23775506
Goran Dragić,MIA,2018,17000450
James Johnson,MIA,2018,13954000
Dion Waiters,MIA,2018,11000000
Kelly Olynyk,MIA,2018,10607169
Hassan Whiteside,MIA,2017,22116750
Goran Dragić,MIA,2017,15890000
Wayne Ellington,MIA,2017,6000000
Josh McRoberts,MIA,2017,5782450
Tyler Johnson,MIA,2017,5628000
Chris Bosh,MIA,2016,22192730
Dwyane Wade,MIA,2016,20000000
Goran Dragić,MIA,2016,14780000
Luol Deng,MIA,2016,10151612
Josh McRoberts,MIA,2016,5543725
Chris Bosh,MIA,2015,20644400
Dwyane Wade,MIA,2015,15000000
Luol Deng,MIA,2015,9714461
Goran Dragić,MIA,2015,7500000
Chris Andersen,MIA,2015,5375000
LeBron James,MIA,2014,19067500
Chris Bosh,MIA,2014,19067500
Dwyane Wade,MIA,2014,18673000
Udonis Haslem,MIA,2014,4340000
Mario Chalmers,MIA,2014,4000000
LeBron James,MIA,2013,17545000
Chris Bosh,MIA,2013,17545000
Dwyane Wade,MIA,2013,17182000
Mike Miller,MIA,2013,5800000
Udonis Haslem,MIA,2013,4060000
LeBron James,MIA,2012,16022500
Chris Bosh,MIA,2012,16022500
Dwyane Wade,MIA,2012,15691000
Mike Miller,MIA,2012,5400000
Mario Chalmers,MIA,2012,4000000
LeBron James,MIA,2011,14500000
Chris Bosh,MIA,2011,14500000
Dwyane Wade,MIA,2011,14200000
Mike Miller,MIA,2011,5000000
Udonis Haslem,MIA,2011,3500000
Jermaine O'Neal,MIA,2010,23016000
Dwyane Wade,MIA,2010,15779912
Quentin Richardson,MIA,2010,9352400
Udonis Haslem,MIA,2010,7100000
Michael Beasley,MIA,2010,4638600
Jermaine O'Neal,MIA,2009,21372000
Dwyane Wade,MIA,2009,14410581
Mark Blount,MIA,2009,8513916
Udonis Haslem,MIA,2009,6575000
Michael Beasley,MIA,2009,4314960
Shawn Marion,MIA,2008,16440000
Dwyane Wade,MIA,2008,13041250
Jason Williams,MIA,2008,8937500
Mark Blount,MIA,2008,7901040
Ricky Davis,MIA,2008,6819000
Shaquille O'Neal,MIA,2007,20000000
Jason Williams,MIA,2007,8250000
Antoine Walker,MIA,2007,7606820
James Posey,MIA,2007,6392100
Udonis Haslem,MIA,2007,5525000
Shaquille O'Neal,MIA,2006,20000000
Jason Williams,MIA,2006,7562500
Antoine Walker,MIA,2006,6880000
James Posey,MIA,2006,5900400
Udonis Haslem,MIA,2006,5000000
Shaquille O'Neal,MIA,2005,27696430
Eddie Jones,MIA,2005,13455000
Dwyane Wade,MIA,2005,2834160
Damon Jones,MIA,2005,2503000
Michael Doleac,MIA,2005,2400000
Eddie Jones,MIA,2004,12333750
Brian Grant,MIA,2004,12130648
Lamar Odom,MIA,2004,9963596
Dwyane Wade,MIA,2004,2636400
Caron Butler,MIA,2004,1804680
Eddie Jones,MIA,2003,11212500
Brian Grant,MIA,2003,11027862
Anthony Carter,MIA,2003,3656250
LaPhonso Ellis,MIA,2003,3100000
Caron Butler,MIA,2003,1678800
Alonzo Mourning,MIA,2002,18754800
Eddie Jones,MIA,2002,10091250
Brian Grant,MIA,2002,9925076
Anthony Carter,MIA,2002,3250000
LaPhonso Ellis,MIA,2002,3000000
Alonzo Mourning,MIA,2001,16880000
Tim Hardaway,MIA,2001,12000000
Eddie Jones,MIA,2001,8960000
Brian Grant,MIA,2001,8900000
Anthony Mason,MIA,2001,5550000
Alonzo Mourning,MIA,2000,15004800
Jamal Mashburn,MIA,2000,5600000
P.J. Brown,MIA,2000,5124800
Tim Hardaway,MIA,2000,4800000
Dan Majerle,MIA,2000,3600000
Khris Middleton,MIL,2021,33051724
Giannis Antetokounmpo,MIL,2021,27528088
Jrue Holiday,MIL,2021,25111111
Brook Lopez,MIL,2021,12697675
P.J. Tucker,MIL,2021,7969537
Khris Middleton,MIL,2020,30603448
Giannis Antetokounmpo,MIL,2020,25842697
Eric Bledsoe,MIL,2020,15625000
Brook Lopez,MIL,2020,12093024
George Hill,MIL,2020,10133907
Giannis Antetokounmpo,MIL,2019,24157304
George Hill,MIL,2019,19000000
Eric Bledsoe,MIL,2019,15000000
Khris Middleton,MIL,2019,13000000
Nikola Mirotić,MIL,2019,12500000
Giannis Antetokounmpo,MIL,2018,22471910
Eric Bledsoe,MIL,2018,14500000
Khris Middleton,MIL,2018,14100000
John Henson,MIL,2018,11422536
Mirza Teletović,MIL,2018,10500000
Greg Monroe,MIL,2017,17100000
Khris Middleton,MIL,2017,15200000
John Henson,MIL,2017,12517606
Miles Plumlee,MIL,2017,12500000
Mirza Teletović,MIL,2017,10500000
Greg Monroe,MIL,2016,16400000
Khris Middleton,MIL,2016,15000000
O.J. Mayo,MIL,2016,8000000
Greivis Vásquez,MIL,2016,6600000
Jabari Parker,MIL,2016,5152440
Larry Sanders,MIL,2015,11000000
O.J. Mayo,MIL,2015,8000000
Zaza Pachulia,MIL,2015,5200000
Jabari Parker,MIL,2015,4930560
Jared Dudley,MIL,2015,4250000
O.J. Mayo,MIL,2014,8000000
Ersan İlyasova,MIL,2014,7900000
Zaza Pachulia,MIL,2014,5200000
Ekpe Udoh,MIL,2014,4469548
Luke Ridnour,MIL,2014,4320000
Monta Ellis,MIL,2013,11000000
Ersan İlyasova,MIL,2013,7900000
Samuel Dalembert,MIL,2013,6698565
Drew Gooden,MIL,2013,6687400
J.J. Redick,MIL,2013,6190000
Andrew Bogut,MIL,2012,12000000
Stephen Jackson,MIL,2012,9256500
Beno Udrih,MIL,2012,6925400
Drew Gooden,MIL,2012,6226200
Luc Mbah a Moute,MIL,2012,5000000
Michael Redd,MIL,2011,18300000
Andrew Bogut,MIL,2011,11000000
Corey Maggette,MIL,2011,9600000
John Salmons,MIL,2011,8000000
Drew Gooden,MIL,2011,5760000
Michael Redd,MIL,2010,17040000
Andrew Bogut,MIL,2010,10000000
Dan Gadzuric,MIL,2010,6749260
Luke Ridnour,MIL,2010,6500000
John Salmons,MIL,2010,5456000
Michael Redd,MIL,2009,15780000
Richard Jefferson,MIL,2009,13200000
Luke Ridnour,MIL,2009,6500000
Andrew Bogut,MIL,2009,6294310
Dan Gadzuric,MIL,2009,6250195
Michael Redd,MIL,2008,14520000
Bobby Simmons,MIL,2008,9280000
Mo Williams,MIL,2008,7750000
Dan Gadzuric,MIL,2008,5751130
Desmond Mason,MIL,2008,5000000
Michael Redd,MIL,2007,13260000
Ruben Patterson,MIL,2007,6807000
Brian Skinner,MIL,2007,5400000
Dan Gadzuric,MIL,2007,5252065
Andrew Bogut,MIL,2007,4665960
Michael Redd,MIL,2006,12000000
Jamaal Magloire,MIL,2006,8533333
Bobby Simmons,MIL,2006,8000000
Joe Smith,MIL,2006,6353200
Dan Gadzuric,MIL,2006,4750000
Keith Van Horn,MIL,2005,14487000
Desmond Mason,MIL,2005,6529630
Joe Smith,MIL,2005,5899400
Mike James,MIL,2005,3100000
Michael Redd,MIL,2005,3000000
Tim Thomas,MIL,2004,11825000
Toni Kukoč,MIL,2004,9056250
Joe Smith,MIL,2004,5445600
Michael Redd,MIL,2004,3000000
Joel Przybilla,MIL,2004,2373309
Ray Allen,MIL,2003,12375000
Tim Thomas,MIL,2003,10750000
Toni Kukoč,MIL,2003,8050000
Jason Caffey,MIL,2003,5250000
Sam Cassell,MIL,2003,4850000
Ray Allen,MIL,2002,11250000
Tim Thomas,MIL,2002,9675000
Glenn Robinson,MIL,2002,8990000
Jason Caffey,MIL,2002,4812500
Anthony Mason,MIL,2002,4538000
Ray Allen,MIL,2001,10130000
Tim Thomas,MIL,2001,8510000
Glenn Robinson,MIL,2001,8120000
Jason Caffey,MIL,2001,4380000
Scott Williams,MIL,2001,4200000
Ray Allen,MIL,2000,9000000
Glenn Robinson,MIL,2000,7250000
Danny Manning,MIL,2000,6833333
Scott Williams,MIL,2000,3750000
Sam Cassell,MIL,2000,3500000
Karl-Anthony Towns,MIN,2021,29467800
D'Angelo Russell,MIN,2021,28649250
Ricky Rubio,MIN,2021,17000000
Malik Beasley,MIN,2021,13425895
Anthony Edwards,MIN,2021,9757440
D'Angelo Russell,MIN,2020,27285000
Karl-Anthony Towns,MIN,2020,27285000
Allen Crabbe,MIN,2020,17818456
James Johnson,MIN,2020,14887400
Jarrett Culver,MIN,2020,5813640
Andrew Wiggins,MIN,2019,25467250
Jeff Teague,MIN,2019,19000000
Gorgui Dieng,MIN,2019,15170787
Taj Gibson,MIN,2019,14000000
Robert Covington,MIN,2019,10464092
Jimmy Butler,MIN,2018,19301070
Jeff Teague,MIN,2018,19000000
Gorgui Dieng,MIN,2018,14112360
Taj Gibson,MIN,2018,14000000
Andrew Wiggins,MIN,2018,7574322
Ricky Rubio,MIN,2017,13550000
Cole Aldrich,MIN,2017,7643979
Andrew Wiggins,MIN,2017,6006600
Karl-Anthony Towns,MIN,2017,5960160
Jordan Hill,MIN,2017,3911380
Ricky Rubio,MIN,2016,12365000
Nikola Peković,MIN,2016,12100000
Kevin Garnett,MIN,2016,8500000
Kevin Martin,MIN,2016,7085000
Andrew Wiggins,MIN,2016,5758680
Nikola Peković,MIN,2015,12100000
Kevin Garnett,MIN,2015,12000000
Kevin Martin,MIN,2015,6792500
Anthony Bennett,MIN,2015,5563920
Andrew Wiggins,MIN,2015,5510640
Kevin Love,MIN,2014,14693906
Nikola Peković,MIN,2014,12100000
Kevin Martin,MIN,2014,6500000
Derrick Williams,MIN,2014,5016960
Chase Budinger,MIN,2014,5000000
Kevin Love,MIN,2013,13668750
Andrei Kirilenko,MIN,2013,9779349
Brandon Roy,MIN,2013,5100000
Derrick Williams,MIN,2013,4947840
Nikola Peković,MIN,2013,4837200
Michael Beasley,MIN,2012,6262347
Martell Webster,MIN,2012,5256000
Darko Miličić,MIN,2012,4776500
Brad Miller,MIN,2012,4752000
Kevin Love,MIN,2012,4609701
Michael Beasley,MIN,2011,4962240
Martell Webster,MIN,2011,4800000
Darko Miličić,MIN,2011,4325000
Luke Ridnour,MIN,2011,4000000
Nikola Peković,MIN,2011,4000000
Al Jefferson,MIN,2010,12000000
Darko Miličić,MIN,2010,7500000
Ryan Gomes,MIN,2010,3867500
Ramon Sessions,MIN,2010,3670667
Kevin Love,MIN,2010,3401040
Al Jefferson,MIN,2009,11000000
Mike Miller,MIN,2009,9028575
Brian Cardinal,MIN,2009,6300000
Jason Collins,MIN,2009,6200000
Ryan Gomes,MIN,2009,3650000
Theo Ratliff,MIN,2008,11666666
Antoine Walker,MIN,2008,8329640
Marko Jarić,MIN,2008,6050000
Greg Buckner,MIN,2008,3750000
Michael Doleac,MIN,2008,3120000
Kevin Garnett,MIN,2007,21000000
Mark Blount,MIN,2007,7288165
Ricky Davis,MIN,2007,6364400
Troy Hudson,MIN,2007,5603000
Marko Jarić,MIN,2007,5525000
Kevin Garnett,MIN,2006,18000000
Wally Szczerbiak,MIN,2006,10000000
Michael Olowokandi,MIN,2006,5900400
Troy Hudson,MIN,2006,5253000
Marko Jarić,MIN,2006,5000000
Kevin Garnett,MIN,2005,16000000
Latrell Sprewell,MIN,2005,14625000
Wally Szczerbiak,MIN,2005,9000000
Sam Cassell,MIN,2005,6250000
Michael Olowokandi,MIN,2005,5408700
Kevin Garnett,MIN,2004,28000000
Latrell Sprewell,MIN,2004,13500000
Wally Szczerbiak,MIN,2004,8000000
Sam Cassell,MIN,2004,5062500
Michael Olowokandi,MIN,2004,4917000
Kevin Garnett,MIN,2003,25200000
Joe Smith,MIN,2003,4991800
Marc Jackson,MIN,2003,3575000
Anthony Peeler,MIN,2003,3350812
Wally Szczerbiak,MIN,2003,2933187
Kevin Garnett,MIN,2002,22400000
Terrell Brandon,MIN,2002,9300000
Joe Smith,MIN,2002,4538000
Dean Garrett,MIN,2002,3240000
Anthony Peeler,MIN,2002,2978500
Kevin Garnett,MIN,2001,19610000
Terrell Brandon,MIN,2001,8330000
Dean Garrett,MIN,2001,2880000
Anthony Peeler,MIN,2001,2740000
Sam Mitchell,MIN,2001,2370000
Kevin Garnett,MIN,2000,16806300
Terrell Brandon,MIN,2000,7400000
Dean Garrett,MIN,2000,2520000
Anthony Peeler,MIN,2000,2495500
Joe Smith,MIN,2000,2100000
Steven Adams,NOP,2021,29592695
Brandon Ingram,NOP,2021,27285000
Eric Bledsoe,NOP,2021,16875000
James Johnson,NOP,2021,16047100
Lonzo Ball,NOP,2021,11003782
Jrue Holiday,NOP,2020,25111111
Derrick Favors,NOP,2020,16000000
J.J. Redick,NOP,2020,13486300
Zion Williamson,NOP,2020,9757440
Lonzo Ball,NOP,2020,8719320
Jrue Holiday,NOP,2019,25976111
Anthony Davis,NOP,2019,25434262
Solomon Hill,NOP,2019,12252928
E'Twaun Moore,NOP,2019,8808685
Julius Randle,NOP,2019,8641000
Jrue Holiday,NOP,2018,25686667
Anthony Davis,NOP,2018,23775506
DeMarcus Cousins,NOP,2018,18063850
Nikola Mirotić,NOP,2018,12500000
Solomon Hill,NOP,2018,12236535
Anthony Davis,NOP,2017,22116750
DeMarcus Cousins,NOP,2017,16957900
Jrue Holiday,NOP,2017,11286518
Solomon Hill,NOP,2017,11241218
Ömer Aşık,NOP,2017,9904494
Eric Gordon,NOP,2016,15514031
Tyreke Evans,NOP,2016,11227000
Ömer Aşık,NOP,2016,11000000
Jrue Holiday,NOP,2016,10595507
Ryan Anderson,NOP,2016,8500000
Eric Gordon,NOP,2015,14898938
Tyreke Evans,NOP,2015,10763500
Jrue Holiday,NOP,2015,9904495
Ryan Anderson,NOP,2015,8491500
Ömer Aşık,NOP,2015,8374646
Eric Gordon,NOP,2014,14283844
Tyreke Evans,NOP,2014,10300000
Jrue Holiday,NOP,2014,9213484
Ryan Anderson,NOP,2014,8308500
Anthony Davis,NOP,2014,5375760
Eric Gordon,NOH,2013,13668750
Ryan Anderson,NOH,2013,8700000
Anthony Davis,NOH,2013,5144280
Robin Lopez,NOH,2013,4899293
Al-Farouq Aminu,NOH,2013,2947800
Chris Kaman,NOH,2012,14030000
Emeka Okafor,NOH,2012,12541812
Carl Landry,NOH,2012,8500000
Trevor Ariza,NOH,2012,6790640
Jarrett Jack,NOH,2012,5000000
Chris Paul,NOH,2011,14940153
Emeka Okafor,NOH,2011,11495000
David West,NOH,2011,8287500
Trevor Ariza,NOH,2011,6322320
Jarrett Jack,NOH,2011,4600000
Chris Paul,NOH,2010,13520500
Peja Stojaković,NOH,2010,13392000
Emeka Okafor,NOH,2010,10538937
David West,NOH,2010,9075000
Morris Peterson,NOH,2010,6212960
Peja Stojaković,NOH,2009,12528000
Tyson Chandler,NOH,2009,11350000
David West,NOH,2009,9862500
Antonio Daniels,NOH,2009,6200000
Morris Peterson,NOH,2009,5592240
Peja Stojaković,NOH,2008,11664000
David West,NOH,2008,10650000
Tyson Chandler,NOH,2008,10250000
Mike James,NOH,2008,5632200
Morris Peterson,NOH,2008,5356000
Peja Stojaković,NOK,2007,10800000
Tyson Chandler,NOK,2007,9150000
Desmond Mason,NOK,2007,8037037
Bobby Jackson,NOK,2007,5259000
Marc Jackson,NOK,2007,4875000
P.J. Brown,NOK,2006,8000000
Desmond Mason,NOK,2006,7333333
Speedy Claxton,NOK,2006,3600000
Chris Andersen,NOK,2006,3500000
Chris Paul,NOK,2006,3144240
Baron Davis,NOH,2005,12330000
Jamaal Magloire,NOH,2005,8533333
P.J. Brown,NOH,2005,8000000
David Wesley,NOH,2005,4455000
George Lynch,NOH,2005,3000000
Baron Davis,NOH,2004,10960000
Jamal Mashburn,NOH,2004,8525000
P.J. Brown,NOH,2004,8000000
David Wesley,NOH,2004,3960000
George Lynch,NOH,2004,2800000
Elden Campbell,NOH,2003,8050000
Jamal Mashburn,NOH,2003,7750000
P.J. Brown,NOH,2003,7044800
Baron Davis,NOH,2003,3942922
David Wesley,NOH,2003,3600000
Julius Randle,NYK,2021,18900000
RJ Barrett,NYK,2021,8231760
Derrick Rose,NYK,2021,7682926
Frank Ntilikina,NYK,2021,6176578
Alec Burks,NYK,2021,6000000
Julius Randle,NYK,2020,18000000
Bobby Portis,NYK,2020,15000000
Maurice Harkless,NYK,2020,11511234
Taj Gibson,NYK,2020,9800000
Elfrid Payton,NYK,2020,8000000
DeAndre Jordan,NYK,2019,22897200
Enes Freedom,NYK,2019,18622514
Wesley Matthews,NYK,2019,18622514
Lance Thomas,NYK,2019,7119650
Mario Hezonja,NYK,2019,6500000
Enes Freedom,NYK,2018,20566802
Joakim Noah,NYK,2018,17765000
Tim Hardaway Jr.,NYK,2018,16500000
Courtney Lee,NYK,2018,11747890
Lance Thomas,NYK,2018,6655325
Carmelo Anthony,NYK,2017,24559380
Derrick Rose,NYK,2017,21323250
Joakim Noah,NYK,2017,17000000
Courtney Lee,NYK,2017,11242000
Lance Thomas,NYK,2017,6191000
Carmelo Anthony,NYK,2016,22875000
Robin Lopez,NYK,2016,13000000
Arron Afflalo,NYK,2016,8000000
José Calderón,NYK,2016,7402812
Derrick Williams,NYK,2016,4900000
